movie_id,country_id
tt0114709,151
tt0113497,151
tt0113228,151
tt0114885,151
tt0113041,151
tt0113277,151
tt0114319,53
tt0114319,151
tt0112302,151
tt0114576,151
tt0113189,150
tt0113189,151
tt0112346,151
tt0112896,51
tt0112896,151
tt0112453,151
tt0112453,150
tt0113987,151
tt0112760,51
tt0112760,70
tt0112760,53
tt0112760,151
tt0112641,51
tt0112641,151
tt0114388,150
tt0114388,151
tt0113101,151
tt0112281,151
tt0113845,151
tt0113161,151
tt0112722,151
tt0112401,51
tt0112401,151
tt0114168,151
tt0113627,151
tt0114057,150
tt0114057,151
tt0114011,151
tt0112682,51
tt0112682,53
tt0112682,134
tt0112682,16
tt0115012,51
tt0115012,33
tt0112792,151
tt0114746,151
tt0114952,51
tt0114952,151
tt0112431,10
tt0112431,151
tt0112431,150
tt0112637,150
tt0112637,51
tt0112818,150
tt0112818,151
tt0112286,151
tt0113442,151
tt0112697,151
tt0112749,131
tt0112749,151
tt0114279,150
tt0114279,151
tt0112819,151
tt0114272,151
tt0114272,150
tt0113855,151
tt0114681,150
tt0114681,28
tt0114681,151
tt0113347,151
tt0114369,151
tt0114148,151
tt0114148,73
tt0114916,28
tt0114814,151
tt0114814,53
tt0113819,151
tt0110299,70
tt0110299,51
tt0110299,138
tt0110299,11
tt0112499,151
tt0113158,51
tt0113158,151
tt0113541,151
tt0113541,28
tt0113321,151
tt0110877,70
tt0110877,51
tt0110877,16
tt0112714,28
tt0112714,150
tt0112714,51
tt0113419,151
tt0116260,151
tt0113862,151
tt0116126,151
tt0118002,151
tt0115683,151
tt0116839,151
tt0116839,73
tt0116839,150
tt0114753,151
tt0113149,51
tt0113118,151
tt0116367,151
tt0116367,94
tt0113010,151
tt0113537,151
tt0113828,51
tt0115644,151
tt0115676,151
tt0114367,28
tt0114367,73
tt0113973,53
tt0113973,151
tt0112744,151
tt0116731,151
tt0112445,65
tt0114660,151
tt0112379,102
tt0112379,16
tt0112379,150
tt0112379,51
tt0114039,151
tt0113612,151
tt0112365,150
tt0112365,151
tt0118158,151
tt0118158,150
tt0116151,151
tt0115697,151
tt0113972,151
tt0113490,151
tt0117002,151
tt0117002,150
tt0114825,151
tt0115639,151
tt0115759,151
tt0113403,150
tt0113247,51
tt0111173,150
tt0111173,73
tt0111173,53
tt0111173,151
tt0115907,151
tt0115734,151
tt0117102,151
tt0118040,151
tt0116483,151
tt0112579,151
tt0110251,53
tt0117110,151
tt0117110,150
tt0112646,151
tt0113276,151
tt0112573,151
tt0075314,151
tt0113326,60
tt0115645,151
tt0113774,28
tt0113774,150
tt0112556,51
tt0112373,150
tt0112373,151
tt0112373,102
tt0115033,150
tt0115033,53
tt0115033,51
tt0116606,151
tt0114536,151
tt0117427,151
tt0103859,151
tt0109424,60
tt0114808,70
tt0116324,151
tt0110647,53
tt0110647,151
tt0111055,146
tt0111055,51
tt0110217,151
tt0114131,151
tt0112364,151
tt0113107,67
tt0113107,150
tt0113107,51
tt0113107,151
tt0113451,151
tt0114015,43
tt0114500,151
tt0116130,151
tt0113125,151
tt0113756,151
tt0113756,150
tt0113952,150
tt0113952,134
tt0114618,63
tt0118055,151
tt0115685,151
