show_id,genre
tt0070644,Drama
tt0185906,Action
tt0185906,Drama
tt0185906,History
tt0108906,Comedy
tt0108906,Drama
tt0108906,Fantasy
tt0259153,Horror
tt0259153,Mystery
tt0259153,Thriller
tt0112130,Drama
tt0112130,Romance
tt0080297,Drama
tt0080297,Mystery
tt0080297,Thriller
tt0287839,Adventure
tt0287839,Drama
tt0287839,Sci-Fi
tt0142032,Adventure
tt0142032,Drama
tt0142032,Sci-Fi
tt0075520,Biography
tt0075520,Drama
tt0075520,History
tt0081874,Adventure
tt0081874,Comedy
tt0081874,Sci-Fi
tt0083387,Drama
tt0083387,History
tt0083387,War
tt0083480,Drama
tt0083480,Mystery
tt0088727,Drama
tt0088727,Family
tt0092337,Drama
tt0094791,Action
tt0094791,Adventure
tt0094791,Drama
tt0096639,Adventure
tt0096639,Drama
tt0096639,Western
tt0098898,Crime
tt0098898,Drama
tt0098898,Mystery
tt0099864,Drama
tt0099864,Horror
tt0099864,Mystery
tt0103516,Crime
tt0103516,Drama
tt0103516,Mystery
tt0106112,Drama
tt0106112,Western
tt0108941,Adventure
tt0108941,Drama
tt0108941,Fantasy
tt0110426,Adventure
tt0110426,Animation
tt0110426,Drama
tt0112040,Horror
tt0112040,Mystery
tt0112040,Sci-Fi
tt0120570,Action
tt0120570,Drama
tt0120570,History
tt0130414,Action
tt0130414,Adventure
tt0130414,Drama
tt0135659,Drama
tt0135659,Fantasy
tt0135659,Horror
tt0178145,Adventure
tt0178145,Biography
tt0178145,Drama
tt0207275,Adventure
tt0207275,Comedy
tt0207275,Family
tt0244353,Drama
tt0244353,Fantasy
tt0314979,Action
tt0314979,Adventure
tt0314979,Drama
tt0324264,Drama
tt0324264,Romance
tt0340477,Action
tt0340477,Adventure
tt0340477,Drama
tt0346293,Biography
tt0346293,Drama
tt0346293,History
tt0355987,Drama
tt0355987,Horror
tt0355987,Mystery
tt0097810,Drama
tt0097810,War
tt0079844,Horror
tt0118641,Drama
tt0118641,History
tt0259127,Action
tt0259127,Adventure
tt0259127,Biography
tt0318997,Drama
tt0318997,Fantasy
tt0318997,Romance
tt0105946,Action
tt0105946,Adventure
tt0105946,Drama
tt0423651,Crime
tt0423651,Drama
tt0423651,Romance
tt0164292,Biography
tt0164292,Drama
tt0164292,Music
tt0376591,Drama
tt0376591,Romance
tt0783612,Documentary
tt0118414,Adventure
tt0118414,Drama
tt0118414,Fantasy
tt0461872,Crime
tt0461872,Drama
tt0461872,Mystery
tt0137863,Drama
tt0088693,Adventure
tt0088693,Family
tt0088693,Fantasy
tt0075296,Biography
tt0075296,Drama
tt0430484,Documentary
tt0430484,History
tt0109036,Adventure
tt0109036,Biography
tt0109036,Drama
tt0090608,Drama
tt0463850,Action
tt0463850,Adventure
tt0463850,Drama
tt0070904,Crime
tt0070904,Mystery
tt0070904,Sci-Fi
tt0424600,Drama
tt0424600,Mystery
tt0424600,Sci-Fi
tt1079959,Adventure
tt1079959,Comedy
tt1079959,Fantasy
tt0472027,Biography
tt0472027,Drama
tt0472027,History
tt0279077,Action
tt0279077,Animation
tt0279077,Comedy
tt0871427,Adventure
tt0871427,Drama
tt0871427,Horror
tt0910812,Adventure
tt0910812,Fantasy
tt0910812,Sci-Fi
tt0409572,Adventure
tt0409572,Drama
tt0409572,Romance
tt0387736,Action
tt0387736,Adventure
tt0387736,Drama
tt0233044,Adventure
tt0233044,Family
tt0233044,Fantasy
tt0407384,Adventure
tt0407384,Drama
tt0407384,Fantasy
tt0115398,Documentary
tt0208629,Drama
tt0208629,History
tt0208629,War
tt1227926,Comedy
tt1227926,Musical
tt1227926,Sci-Fi
tt1117667,Action
tt1117667,Crime
tt1117667,Mystery
tt1264363,Adventure
tt1264363,Drama
tt1264363,Fantasy
tt0080196,Crime
tt0080196,Drama
tt0075572,Biography
tt0075572,Drama
tt0075572,History
tt0087400,Drama
tt0087400,History
tt0087400,War
tt1117666,Drama
tt1117666,Fantasy
tt1117666,Romance
tt1141486,Documentary
tt1260995,Action
tt1260995,Drama
tt1260995,Sci-Fi
tt1104746,Comedy
tt1104746,Documentary
tt1461312,Adventure
tt1461312,Drama
tt1461312,Fantasy
tt0085101,Drama
tt0085101,Romance
tt0495212,Action
tt0495212,Animation
tt0495212,Fantasy
tt0092571,Drama
tt0092571,Family
tt0092571,Romance
tt1329539,Action
tt1329539,History
tt1329539,War
tt0884762,Documentary
tt1358383,Documentary
tt0081846,Documentary
tt1438437,Action
tt1438437,Adventure
tt1438437,Crime
tt0115109,Action
tt0115109,Adventure
tt0115109,Horror
tt1587373,Documentary
tt0172202,Biography
tt0172202,Documentary
tt1453159,Drama
tt1453159,Romance
tt1453159,Thriller
tt1321865,Biography
tt1321865,Crime
tt1321865,Drama
tt0465326,Biography
tt0465326,Drama
tt0465326,History
tt1366312,Comedy
tt1366312,Drama
tt1366312,Romance
tt0078588,Documentary
tt0078588,History
tt0199208,Documentary
tt0199208,History
tt1492030,Crime
tt1492030,Drama
tt1492030,Mystery
tt0780362,Drama
tt0780362,Romance
tt0112041,Drama
tt0112041,Western
tt0783328,Drama
tt0783328,Western
tt0115238,Western
tt1236371,Drama
tt1236371,Mystery
tt1236371,Romance
tt0979263,Documentary
tt0222581,Comedy
tt1718776,Crime
tt1718776,Drama
tt1759871,Comedy
tt1759871,Drama
tt0231626,Action
tt0231626,Animation
tt0231626,Sci-Fi
tt0231627,Action
tt0231627,Animation
tt1226036,Action
tt1226036,Adventure
tt1226036,Animation
tt0207907,Documentary
tt0207907,History
tt0207907,War
tt0482857,Action
tt0482857,Adventure
tt0482857,Drama
tt1955162,Documentary
tt1541777,Documentary
tt1541777,Music
tt2033193,Comedy
tt2033193,Musical
tt0098769,Documentary
tt0098769,History
tt0098769,War
tt1212452,Drama
tt1212452,Horror
tt1212452,Mystery
tt0337898,Action
tt0337898,Crime
tt0337898,Drama
tt1866426,Action
tt1866426,Adventure
tt1866426,Fantasy
tt0417349,Drama
tt0417349,Romance
tt1831575,Crime
tt1831575,Drama
tt1831575,Mystery
tt0078683,Drama
tt2085059,Crime
tt2085059,Drama
tt2085059,Mystery
tt0286285,Animation
tt0286285,Documentary
tt0490048,Documentary
tt0107228,Action
tt0107228,Animation
tt0107228,Horror
tt0086667,Drama
tt0996994,Documentary
tt0996994,History
tt0996994,War
tt0118489,Biography
tt0118489,Documentary
tt0118489,History
tt1820723,Action
tt1820723,Adventure
tt1820723,History
tt0497298,Crime
tt0497298,Horror
tt0497298,Sci-Fi
tt0442632,Crime
tt0442632,Drama
tt0106104,Crime
tt0106104,Drama
tt0106104,Mystery
tt0811026,Crime
tt0811026,Drama
tt0811026,Mystery
tt0365651,Crime
tt0365651,Drama
tt0365651,Thriller
tt0368520,Animation
tt0368520,Comedy
tt0368520,Drama
tt0069684,Biography
tt0069684,Drama
tt0069684,History
tt1192431,Action
tt1192431,Drama
tt1192431,Fantasy
tt0929753,Animation
tt0929753,Comedy
tt0929753,Drama
tt2262308,Action
tt2262308,Sci-Fi
tt2262308,Thriller
tt0297994,Animation
tt0297994,Comedy
tt0297994,Fantasy
tt0066674,Drama
tt0221300,Documentary
tt0221300,History
tt0221300,Music
tt0230534,Drama
tt0230534,History
tt0089018,Adventure
tt0089018,Drama
tt0089018,Fantasy
tt1806234,Documentary
tt1842793,Documentary
tt2070768,Biography
tt2070768,Documentary
tt2070768,History
tt2092588,Documentary
tt0427531,Action
tt0427531,Animation
tt0427531,Comedy
tt0388644,Crime
tt0388644,Documentary
tt0388644,Drama
tt0118248,Adventure
tt0118248,Romance
tt0118248,Sci-Fi
tt0321897,Drama
tt0321897,Romance
tt0220924,Documentary
tt0220924,History
tt0077159,Drama
tt0077159,Romance
tt1985443,Drama
tt1985443,History
tt1985443,Romance
tt0238064,Biography
tt0238064,Drama
tt0238064,Music
tt0119348,Drama
tt0119348,Mystery
tt0119348,Thriller
tt0167565,Adventure
tt0167565,History
tt0167565,Romance
tt0061253,Drama
tt0061253,Romance
tt0077025,Drama
tt0077025,History
tt0077025,Romance
tt0384013,Drama
tt0384013,Romance
tt1926910,Documentary
tt1926910,History
tt0432232,Documentary
tt2060305,Documentary
tt2973064,Documentary
tt2973064,History
tt2083695,Documentary
tt1675198,Documentary
tt2510620,Documentary
tt1647292,Documentary
tt2262456,Drama
tt2262456,History
tt2262456,War
tt0108956,Drama
tt0108956,History
tt0108956,War
tt0158591,Action
tt0158591,Animation
tt0158591,Comedy
tt1285482,Drama
tt1285482,Horror
tt1285482,Reality-TV
tt0401019,Drama
tt0401019,War
tt2707792,Biography
tt2707792,Crime
tt2707792,Drama
tt0086723,Adventure
tt0086723,Family
tt0086723,Sci-Fi
tt1450364,Comedy
tt0362192,Crime
tt0362192,Drama
tt0362192,Mystery
tt1081731,Adventure
tt1081731,History
tt0082461,Adventure
tt0082461,Drama
tt0082461,Romance
tt3218680,Action
tt3218680,Adventure
tt3218680,Animation
tt0898266,Comedy
tt0898266,Romance
tt0072500,Comedy
tt0995832,Drama
tt0995832,War
tt0219430,Thriller
tt0117547,Adventure
tt0117547,Drama
tt0117547,History
tt0433722,Animation
tt0433722,Drama
tt0433722,Horror
tt0213338,Action
tt0213338,Adventure
tt0213338,Animation
tt1738340,Drama
tt0974077,Drama
tt1219817,Adventure
tt1219817,Comedy
tt1219817,Fantasy
tt3087752,Drama
tt3087752,Horror
tt3087752,Mystery
tt1720619,Adventure
tt1720619,Fantasy
tt2649522,Drama
tt2649522,Thriller
tt0098492,Action
tt0098492,Animation
tt0098492,Drama
tt0856824,Action
tt0856824,Animation
tt0856824,Comedy
tt0364146,Action
tt0364146,Adventure
tt0364146,Drama
tt0284741,Biography
tt0284741,Drama
tt0284741,History
tt0076993,Action
tt0076993,Adventure
tt0076993,Drama
tt0074621,Crime
tt0074621,Drama
tt0074621,Thriller
tt0090522,Drama
tt0090522,Romance
tt0346223,Drama
tt0346223,History
tt0397501,Action
tt0397501,Adventure
tt0397501,Fantasy
tt0468988,Action
tt0468988,Adventure
tt0468988,Drama
tt1883092,Action
tt1883092,Drama
tt1883092,History
tt0446610,Documentary
tt0446610,History
tt0446610,War
tt2194326,Documentary
tt2194326,Music
tt3012698,Drama
tt1238834,Drama
tt1238834,Romance
tt2944454,Drama
tt2944454,Sci-Fi
tt0403778,Adventure
tt0403778,Documentary
tt3069212,Action
tt3069212,Adventure
tt3069212,Drama
tt2357472,Documentary
tt2357472,History
tt1339238,Action
tt1339238,Animation
tt1339238,Comedy
tt0095388,Crime
tt0095388,Drama
tt0095388,Mystery
tt0115392,Action
tt0115392,Drama
tt0115392,History
tt3696720,Drama
tt3696720,Sci-Fi
tt0349747,Biography
tt0349747,Drama
tt3877200,Crime
tt3877200,Drama
tt3877200,Mystery
tt1567215,Drama
tt1567215,History
tt1567215,Romance
tt0090490,Drama
tt0090490,History
tt0090490,Romance
tt3132738,Biography
tt3132738,Drama
tt0085106,Action
tt0085106,Adventure
tt0085106,Sci-Fi
tt0088583,Drama
tt0088583,History
tt0088583,Romance
tt0086823,Action
tt0086823,Adventure
tt0086823,Sci-Fi
tt0205214,Adventure
tt0205214,Comedy
tt0205214,Family
tt0210294,Adventure
tt0210294,Family
tt0210294,Fantasy
tt0168355,Adventure
tt0168355,Drama
tt0168355,Romance
tt1127205,Biography
tt1127205,Drama
tt1127205,History
tt0078672,Comedy
tt0078672,Drama
tt0078672,Romance
tt0463826,Adventure
tt0463826,Fantasy
tt0118453,Action
tt0118453,Drama
tt0118453,History
tt0222608,Crime
tt0222608,Drama
tt0100361,Drama
tt0100361,Music
tt0100361,Mystery
tt0289830,Drama
tt0289830,Mystery
tt0289830,Sci-Fi
tt0088611,Drama
tt0116619,Crime
tt0116619,Drama
tt0116619,History
tt1307789,Documentary
tt0425674,Comedy
tt0934320,Comedy
tt0934320,Drama
tt0934320,Family
tt0374463,Action
tt0374463,Adventure
tt0374463,Drama
tt3053694,Comedy
tt3053694,Crime
tt3053694,Mystery
tt2044056,Documentary
tt2044056,History
tt0317875,Drama
tt0317875,Romance
tt0115288,Adventure
tt0115288,Comedy
tt0115288,Drama
tt0420408,Adventure
tt0420408,Drama
tt0420408,Fantasy
tt1422182,Biography
tt1422182,Documentary
tt0427042,Biography
tt0427042,Comedy
tt0427042,Drama
tt0847150,Drama
tt0847150,Romance
tt1855924,Documentary
tt1855924,History
tt1855924,War
tt0081443,Biography
tt0081443,Drama
tt0081443,War
tt0115387,Drama
tt0115387,Romance
tt2109059,Documentary
tt2109059,History
tt2109059,War
tt1489097,Documentary
tt1489097,History
tt1489097,War
