show_id,person_id
tt1842793,nm1408102
tt2070768,nm4695054
tt2070768,nm0638534
tt2092588,nm2153280
tt2092588,nm1768412
tt0427531,nm3190380
tt0427531,nm0880870
tt0388644,nm0994355
tt0118248,nm0362738
tt0321897,nm0393799
tt0220924,nm0122849
tt0077159,nm0210701
tt1985443,nm0721817
tt0238064,nm0088121
tt0119348,nm0299563
tt0167565,nm0196797
tt0061253,nm0318448
tt0061253,nm0148115
tt0077025,nm0159007
tt0384013,nm0612720
tt1926910,nm4963758
tt1926910,nm1068947
tt1926910,nm1337648
tt0432232,nm0193231
tt2060305,nm2925089
tt2060305,nm2238455
tt2060305,nm2445807
tt2973064,nm1986106
tt2083695,nm3144234
tt2083695,nm2145307
tt2083695,nm0882271
tt1675198,nm0882271
tt2510620,nm3747420
tt1647292,nm1646229
tt1647292,nm0365604
tt1647292,nm2464394
tt1647292,nm1882030
tt1647292,nm2889725
tt1647292,nm2552125
tt2262456,nm4315078
tt2262456,nm0264236
tt2262456,nm3734458
tt2262456,nm4824763
tt0108956,nm0765121
tt0158591,nm0556325
tt0158591,nm0411149
tt1285482,nm1312919
tt0401019,nm0528001
tt0401019,nm0642823
tt2707792,nm0000915
tt0086723,nm0037546
tt0086723,nm1543575
tt1450364,nm0443885
tt1450364,nm0990308
tt0362192,nm0946734
tt1081731,nm1234160
tt0082461,nm0175428
tt3218680,nm1450276
tt3218680,nm2346766
tt3218680,nm3178439
tt3218680,nm5977285
tt0898266,nm0148252
tt0898266,nm0723597
tt0898266,nm0149803
tt0898266,nm3154374
tt0898266,nm0123273
tt0898266,nm0614975
tt0898266,nm1464599
tt0898266,nm0943349
tt0898266,nm0913637
tt0898266,nm0923396
tt0898266,nm0615063
tt0072500,nm0818639
tt0072500,nm0203791
tt0995832,nm1264352
tt0995832,nm0148116
tt0219430,nm0511151
tt0117547,nm0001676
tt0433722,nm0464804
tt0433722,nm1257058
tt0433722,nm0357355
tt0433722,nm2014132
tt0433722,nm2150842
tt0433722,nm1070496
tt0213338,nm0569479
tt0213338,nm0913860
tt0213338,nm1988172
tt0213338,nm2010690
tt0213338,nm1993986
tt0213338,nm1991950
tt0213338,nm1751801
tt1738340,nm1231678
tt0974077,nm0193508
tt0974077,nm1362496
tt1219817,nm0428448
tt3087752,nm0002140
tt1720619,nm0932216
tt2649522,nm2965282
tt0098492,nm0030417
tt0098492,nm0557950
tt0098492,nm0875453
tt0856824,nm0556094
tt0856824,nm0875453
tt0856824,nm1536195
tt0856824,nm0386238
tt0856824,nm1532509
tt0856824,nm2031461
tt0364146,nm0480843
tt0284741,nm0248942
tt0076993,nm0900972
tt0076993,nm0469957
tt0076993,nm0266144
tt0076993,nm0568535
tt0074621,nm0340981
tt0090522,nm0382779
tt0346223,nm0299563
tt0397501,nm0102434
tt0468988,nm0523310
tt1883092,nm0434298
tt0446610,nm0715931
tt0446610,nm0851232
tt2194326,nm0255334
tt3012698,nm0158966
tt1238834,nm0317328
tt2944454,nm3721841
tt0403778,nm1256362
tt0403778,nm1748959
tt3069212,nm1438275
tt2357472,nm0122741
tt1339238,nm3190380
tt1339238,nm2001276
tt1339238,nm2690619
tt1339238,nm9492054
tt1339238,nm8332028
tt1339238,nm12045842
tt1339238,nm8713439
tt1339238,nm2287692
tt1339238,nm2035669
tt1339238,nm2930303
tt1339238,nm1205068
tt1339238,nm12051634
tt1339238,nm2281403
tt1339238,nm2854750
tt1339238,nm1724178
tt1339238,nm4867429
tt1339238,nm2551970
tt0095388,nm0926892
tt0115392,nm0509409
tt3696720,nm0021772
tt3696720,nm0178944
tt3696720,nm0509409
tt3696720,nm0622112
tt3696720,nm0931724
tt0349747,nm0689081
tt3877200,nm0788191
tt3877200,nm1354625
tt3877200,nm0760499
tt3877200,nm3295899
tt1567215,nm0143984
tt0090490,nm0175428
tt3132738,nm0248942
tt0085106,nm0425540
tt0088583,nm0373612
tt0086823,nm0373612
tt0205214,nm0376487
tt0210294,nm0398871
tt0168355,nm0410139
tt1127205,nm0428448
tt0078672,nm0170058
tt0463826,nm0398871
tt0118453,nm0587518
tt0222608,nm0002723
tt0100361,nm0724798
tt0289830,nm0252135
tt0289830,nm0258066
tt0289830,nm0269502
tt0289830,nm0001361
tt0289830,nm0434571
tt0289830,nm0003150
tt0289830,nm0590790
tt0289830,nm0818465
tt0289830,nm0941276
tt0289830,nm0942869
tt0088611,nm0765121
tt0088611,nm0680097
tt0116619,nm0438279
tt1307789,nm0203390
tt1307789,nm1016688
tt0425674,nm1234242
tt0934320,nm0568018
tt0374463,nm0687964
