show_id,country_id
tt0108906,42
tt0108906,70
tt0108906,53
tt0108906,51
tt0108906,108
tt0108906,137
tt0108906,102
tt0081874,150
tt0105946,151
tt1104746,42
tt1358383,150
tt1541777,151
tt2033193,151
tt0337898,121
tt1866426,151
tt2085059,150
tt0388644,51
tt0061253,150
tt1675198,150
tt2262456,150
tt1450364,104
tt0898266,151
tt0072500,150
tt0213338,73
tt0974077,150
tt0974077,151
tt2944454,151
tt1339238,73
tt3877200,150
tt3877200,51
tt3877200,16
tt3877200,151
tt0070644,137
tt0185906,150
tt0185906,151
tt0259153,151
tt0259153,28
tt0112130,150
tt0080297,150
tt0287839,53
tt0287839,151
tt0142032,151
tt0142032,28
tt0142032,53
tt0142032,40
tt0075520,150
tt0075520,70
tt0083387,151
tt0083480,150
tt0088727,28
tt0088727,156
tt0088727,151
tt0092337,116
tt0092337,156
tt0094791,151
tt0096639,151
tt0098898,150
tt0099864,151
tt0099864,28
tt0103516,150
tt0103516,151
tt0106112,151
tt0108941,151
tt0110426,73
tt0112040,151
tt0120570,151
tt0130414,151
tt0130414,150
tt0135659,28
tt0135659,151
tt0178145,28
tt0207275,150
tt0207275,53
tt0207275,151
tt0244353,40
tt0244353,53
tt0244353,151
tt0314979,151
tt0324264,150
tt0340477,151
tt0346293,28
tt0346293,151
tt0355987,151
tt0097810,16
tt0097810,10
tt0097810,151
tt0097810,137
tt0097810,117
tt0097810,108
tt0097810,102
tt0097810,73
tt0097810,67
tt0097810,62
tt0097810,50
tt0097810,42
tt0097810,150
tt0097810,51
tt0097810,86
tt0097810,134
tt0097810,11
tt0079844,151
tt0118641,28
tt0259127,151
tt0259127,85
tt0318997,151
tt0318997,70
tt0423651,150
tt0164292,151
tt0376591,151
tt0783612,151
tt0118414,150
tt0118414,70
tt0118414,53
tt0118414,147
tt0118414,151
tt0461872,28
tt0137863,50
tt0088693,151
tt0075296,151
tt0430484,150
tt0109036,53
tt0109036,70
tt0109036,151
tt0109036,40
tt0109036,51
tt0090608,150
tt0463850,151
tt0463850,28
tt0070904,156
tt0424600,151
tt1079959,150
tt0472027,151
tt0279077,73
tt0279077,28
tt0279077,150
tt0279077,51
tt0871427,151
tt0871427,28
tt0910812,151
tt0409572,151
tt0387736,151
tt0387736,10
tt0233044,150
tt0233044,53
tt0233044,151
tt0407384,151
tt0407384,28
tt0115398,150
tt0208629,28
tt0208629,151
tt1227926,151
tt1117667,51
tt1117667,28
tt1264363,28
tt1264363,151
tt0080196,156
tt0080196,70
tt0075572,151
tt0087400,156
tt1117666,150
tt1141486,150
tt1260995,151
tt1461312,150
tt1461312,28
tt0085101,151
tt0495212,73
tt0092571,28
