show_id,person_id,character_name,role
tt0106112,nm0000702,Ferris Dunnigan,actress
tt0106112,nm0779850,Pea Eye Parker,actor
tt0106112,nm0177933,July Johnson,actor
tt0106112,nm0001634,Sara Pickett,actress
tt0108941,nm0000641,Stu Redman,actor
tt0108941,nm0000208,Frannie Goldsmith,actress
tt0108941,nm0792177,Randall Flagg,actor
tt0108941,nm0000624,Nadine Cross,actress
tt0108941,nm0002039,Mother Abagail Freemantle,actress
tt0108941,nm0001115,Judge Richard Farris,actor
tt0108941,nm0001208,Lloyd Henreid,actor
tt0108941,nm0005269,Harold Lauder,actor
tt0108941,nm0001242,Trashcan Man,actor
tt0108941,nm0832531,Larry Underwood,actor
tt0110426,nm0543441,Superior (1995),actor
tt0110426,nm0186505,Isamu Alva Dyson,actor
tt0110426,nm0148061,,actor
tt0110426,nm0258268,Guld Goa Bowman,actor
tt0110426,nm0861558,Chaser 2,actor
tt0110426,nm0283253,Reporter,actress
tt0110426,nm0082507,Col. Millard Johnson,actor
tt0110426,nm0551065,,actress
tt0110426,nm0002398,,actor
tt0110426,nm0170555,Council Member,actor
tt0112040,nm0923210,Laurel Stevenson,actress
tt0112040,nm0001777,Bob Jenkins,actor
tt0112040,nm0276169,Harker,actor
tt0112040,nm0531069,Dinah Bellman,actress
tt0112040,nm0152464,Nick Hopewell,actor
tt0112040,nm0514127,Aunt Vicki,actress
tt0112040,nm0265670,Don Gaffney,actor
tt0112040,nm0364463,Rudy Warwick,actor
tt0112040,nm0521681,Richard Logan,actor
tt0112040,nm0171754,Albert Kaussner,actor
tt0120570,nm0780678,Deke Slayton,actor
tt0120570,nm0809031,Emmett Seaborn,actor
tt0120570,nm0028625,Frank Borman,actor
tt0120570,nm0446298,Gene Cernan,actor
tt0120570,nm0740535,Chris Kraft,actor
tt0120570,nm0139675,Gerry Griffin,actor
tt0120570,nm0004857,Jim Lovell,actor
tt0120570,nm0389468,Thomas Stafford,actor
tt0120570,nm0640970,James McDivitt,actor
tt0130414,nm0000554,Merlin,actor
tt0130414,nm0000307,Morgan Le Fey,actress
tt0130414,nm0000024,King Constant,actor
tt0130414,nm0000442,King Vortigern,actor
tt0130414,nm0000469,Mountain King,actor
tt0130414,nm0001669,Lady of the Lake,actress
tt0130414,nm0000618,Nimue,actress
tt0130414,nm0001737,Frik,actor
tt0130414,nm0192868,Arthur,actor
tt0130414,nm0372176,Guinevere,actress
tt0135659,nm0004857,Constable Mike Anderson,actor
tt0135659,nm0272173,Andre Linoge,actor
tt0135659,nm0001198,Molly Anderson,actress
tt0135659,nm0218810,Town Manager Robbie Beals,actor
tt0135659,nm0629855,Katrina Withers,actress
tt0135659,nm0048250,Ursula Godsoe,actress
tt0135659,nm0107748,Donny Beals,actor
tt0135659,nm0221631,Sandra Beals,actress
tt0135659,nm0149910,Joanna Stanhope,actress
tt0135659,nm0710292,Jack Carver,actor
tt0178145,nm0005447,Joan d'Arc,actress
tt0178145,nm0929814,Jean de Metz,actor
tt0178145,nm0000564,Bishop Pierre Cauchon,actor
tt0178145,nm0000439,King Charles VII of France,actor
tt0178145,nm0000959,Jacques d'Arc,actor
tt0178145,nm0005471,La Hire,actor
tt0178145,nm0040470,Jean d'Estivet,actor
tt0178145,nm0001156,Mother Babette,actress
tt0178145,nm0005162,Father Monet,actor
tt0178145,nm0000302,Isabelle d'Arc,actress
tt0207275,nm0931090,Virginia Lewis,actress
tt0207275,nm0169753,Wolf,actor
tt0207275,nm0001848,Evil Queen,actress
tt0207275,nm0487406,Prince Wendell,actor
tt0207275,nm0488662,Tony Lewis,actor
tt0207275,nm8353188,Troll,actor
tt0207275,nm0642145,Relish the Troll King,actor
tt0207275,nm0000442,Huntsman,actor
tt0207275,nm0507097,Blabberwort the Troll,actress
tt0207275,nm0641067,Burly the Troll,actor
tt0244353,nm0001378,Vivianne,actress
tt0244353,nm0000523,Morgaine,actress
tt0244353,nm0000260,Morgause,actress
tt0244353,nm0000526,Gwenwyfar,actress
tt0244353,nm0328751,Igraine,actress
tt0244353,nm0041029,Arthur,actor
tt0244353,nm0890232,Lancelot,actor
tt0244353,nm0126250,Merlin,actor
tt0244353,nm0558548,Mordred,actor
tt0244353,nm0428765,Uther,actor
tt0314979,nm0001579,Commander Adama,actor
tt0314979,nm0001521,President Laura Roslin,actress
tt0314979,nm0755267,Kara 'Starbuck' Thrace,actress
tt0314979,nm0051397,Lee 'Apollo' Adama,actor
tt0314979,nm0130536,Gaius Baltar,actor
tt0314979,nm1065454,Number Six,actress
tt0314979,nm0719678,Leoben Conoy,actor
tt0314979,nm0661825,Lt. Sharon 'Boomer' Valerii,actress
tt0314979,nm0389581,Col. Tigh,actor
tt0314979,nm0071922,Doral,actor
tt0324264,nm0830556,Nan Astley,actress
tt0324264,nm0369954,Kitty Butler,actress
tt0324264,nm0562003,Florence Banner,actress
tt0324264,nm0768488,Charles Frobisher,actor
tt0324264,nm0825231,Mrs. Denby,actress
tt0324264,nm0100764,Walter Bliss,actor
tt0324264,nm0151250,Diana Lethaby,actress
tt0324264,nm1020089,Zena Blake,actress
tt0324264,nm0376983,Mrs. Jex,actress
tt0324264,nm0830767,Dickie,actress
tt0340477,nm0288976,"Cassandra, Princess of Troy",actress
tt0340477,nm0130536,Menelaus,actor
tt0340477,nm0487406,Hector,actor
tt0340477,nm0926205,Odysseus,actor
tt0340477,nm0001745,Theseus,actor
tt0340477,nm0598922,Achilles,actor
tt0340477,nm0086621,Clytemnestra,actress
tt0340477,nm0446287,Pollux,actor
tt0340477,nm0146439,Paris' Father,actor
tt0340477,nm1351439,Iphigenia,actress
tt0346293,nm0001780,Ernst Röhm,actor
tt0346293,nm0903110,General Erich Ludendorff,actor
tt0346293,nm0000564,President Paul von Hindenburg,actor
tt0346293,nm0854364,Eva Braun,actress
tt0346293,nm0367731,Gustav von Kahr,actor
tt0346293,nm0758411,Dr. Joseph Goebbels,actor
tt0346293,nm0488271,Hermann Göring,actor
tt0346293,nm1186736,Rudolf Hess,actor
tt0346293,nm0626757,Sophie Gerlich,actress
tt0346293,nm0295227,Friedrich Hollaender,actor
tt0355987,nm0000507,Ben Mears,actor
tt0355987,nm0105672,Matt Burke,actor
tt0355987,nm0000661,Richard Straker,actor
tt0355987,nm0000526,Susan Norton,actress
tt0355987,nm0541120,Dr. James Cody,actor
tt0355987,nm0126004,Mark Petrie,actor
tt0355987,nm0000442,Kurt Barlow,actor
tt0355987,nm0000342,Father Donald Callahan,actor
tt0355987,nm0026340,Charlie Rhodes,actor
tt0355987,nm0344188,Larry Crockett,actor
tt0097810,nm0004697,Hidimbi,actress
tt0097810,nm0228091,Bhima,actor
tt0097810,nm0004248,Duryodhana,actor
tt0097810,nm0126870,Kitchaka,actor
tt0097810,nm0162162,Dhritharashtra,actor
tt0097810,nm0081994,Dushassana,actor
tt0097810,nm0219259,Nakula,actor
tt0097810,nm0468130,Bhisma,actor
tt0097810,nm0583503,Krishna,actor
tt0097810,nm0583857,Arjuna,actor
tt0079844,nm0815800,Ben Mears,actor
tt0079844,nm0000051,Richard K. Straker,actor
tt0079844,nm0450130,Mark Petrie,actor
tt0079844,nm0000889,Susan Norton,actress
tt0079844,nm0000817,Jason Burke,actor
tt0079844,nm0167784,Bonnie Sawyer,actress
tt0079844,nm0176879,Gordon 'Weasel' Phillips,actor
tt0079844,nm0001169,Cully Sawyer,actor
tt0079844,nm0281130,Dr. Bill Norton,actor
tt0079844,nm0443420,Majorie Glick,actress
tt0118641,nm0000101,Crawford Gordon Jr.,actor
tt0118641,nm0098597,Kate O'Hara,actress
tt0118641,nm0925406,Jack Woodman,actor
tt0118641,nm0222593,Jim Chamberlain,actor
tt0118641,nm0000911,James Floyd,actor
tt0118641,nm0926439,Fred Smye,actor
tt0118641,nm0164019,Edward Critchley,actor
tt0118641,nm0113357,Joe Paloffski,actor
tt0118641,nm0280002,Ruby Paloffski,actress
tt0118641,nm0303981,C.D. Howe,actor
tt0259127,nm0528422,Galen,actress
tt0259127,nm0000925,King Rua,actor
tt0259127,nm0687091,Orestes,actor
tt0259127,nm0281107,Bleda,actor
tt0259127,nm0593511,Honoria,actress
tt0259127,nm0404993,Felix,actor
tt0259127,nm0000347,Theodosius,actor
tt0259127,nm0376983,Palcharia,actress
tt0259127,nm0192377,King Theodoric,actor
tt0259127,nm0917353,Young Attila,actor
tt0318997,nm0000199,Roy Cohn,actor
tt0318997,nm0000658,Hannah Pitt,actress
tt0318997,nm0000668,Nurse Emily,actress
tt0318997,nm0000571,Harper Pitt,actress
tt0318997,nm0005095,Prior Walter,actor
tt0318997,nm0942482,Mr. Lies,actor
tt0318997,nm0791570,Louis Ironson,actor
tt0318997,nm0933940,Joe Pitt,actor
tt0318997,nm0548498,Martin Heller,actor
tt0318997,nm0000342,Roy's Doctor,actor
tt0105946,nm0001245,Delenn,actress
tt0105946,nm0081863,Dr. Stephen Franklin,actor
tt0105946,nm0299122,Vir Cotto,actor
tt0105946,nm0441537,G'Kar,actor
tt0105946,nm0432867,Londo Mollari,actor
tt0105946,nm0236381,Michael Garibaldi,actor
tt0105946,nm0612621,Lennier,actor
tt0105946,nm0000310,Capt. John Sheridan,actor
tt0105946,nm0160004,Cmdr. Susan Ivanova,actress
tt0105946,nm0001063,Zack Allan,actor
tt0423651,nm0144187,Maud Lilly,actress
tt0423651,nm1020089,Sue Trinder,actress
tt0423651,nm0001767,Mrs. Sucksby,actress
tt0423651,nm1140344,Richard 'Gentleman' Rivers,actor
tt0423651,nm0873739,Mr. Ibbs,actor
tt0423651,nm1643154,Charles,actor
tt0423651,nm0916037,John Vroom,actor
tt0423651,nm0243983,Mr. Hawtrey,actor
tt0423651,nm0376025,Mrs. Stiles,actress
tt0423651,nm0997824,Dainty,actress
tt0164292,nm0925916,Otis Williams,actor
tt0164292,nm0940851,Melvin Franklin,actor
tt0164292,nm0112277,Eddie Kendricks,actor
tt0164292,nm0668109,Paul Williams,actor
tt0164292,nm0502442,David Ruffin,actor
tt0164292,nm0742165,Shelly Berger,actor
tt0164292,nm0509824,Haze,actress
tt0164292,nm0507338,Mama Rose,actress
tt0164292,nm0712406,Josephine,actress
tt0164292,nm0044762,Berry Gordy,actor
tt0376591,nm0000438,Miles Roby,actor
tt0376591,nm0000450,Charlie Mayne,actor
tt0376591,nm0000166,Janine Roby,actress
tt0376591,nm0000056,Max Roby,actor
tt0376591,nm0000705,Grace Roby,actress
tt0376591,nm0001644,David Roby,actor
tt0376591,nm0940946,Francine Whiting,actress
tt0376591,nm0001199,Walt Comeau,actor
tt0376591,nm0001209,Jimmy Minty,actor
tt0376591,nm0663820,Bea,actress
tt0118414,nm0000800,Odysseus,actor
tt0118414,nm0000627,Penelope,actress
tt0118414,nm0000618,Athena,actress
tt0118414,nm0001613,Circe,actress
tt0118414,nm0000616,Eurymachus,actor
tt0118414,nm0660327,Anticleia,actress
tt0118414,nm0469103,King Alcinous,actor
tt0118414,nm0001036,Eurycleia,actress
tt0118414,nm0000489,Tiresias,actor
tt0118414,nm0001853,Calypso,actress
tt0461872,nm0000661,Meehan,actor
tt0461872,nm0000227,Kate,actress
tt0461872,nm0001015,Sergei,actor
tt0461872,nm1965525,Katerina,actress
tt0461872,nm0495799,Nadia,actress
tt0461872,nm1436204,Annie,actress
tt0461872,nm0132441,Samantha,actress
tt0461872,nm0815257,Mischa,actor
tt0461872,nm0285603,Helena's Aunt,actress
tt0461872,nm0320721,Viktor,actor
tt0461872,nm0903985,Tommy,actor
tt0137863,nm0850689,Vaimo - Pasi's Wife,actress
tt0137863,nm0632852,Pasi,actor
tt0137863,nm0672378,Reiska,actor
tt0137863,nm0654961,Tanu,actor
tt0137863,nm0510114,Ellu,actress
tt0137863,nm0883282,Ari,actor
tt0137863,nm0034503,Manu,actor
tt0137863,nm0389960,Sulo Kokki,actor
tt0137863,nm0683160,Riistapäällikkö - gamekeeper,actor
tt0137863,nm0509604,Kauppias - Shopkeeper,actor
tt0088693,nm0339910,Alice,actress
tt0088693,nm0021052,Mother,actress
tt0088693,nm0000999,The White Rabbit,actor
tt0088693,nm0627969,The Mad Hatter,actor
tt0088693,nm0424527,The Dormouse,actor
tt0088693,nm0005217,The Queen of Hearts,actress
tt0088693,nm0605923,The King of Hearts,actor
tt0088693,nm0301625,The Knave of Hearts,actor
tt0088693,nm0001522,The March Hare,actor
tt0088693,nm0572951,The Jabberwocky,actor
tt0075296,nm0940946,Dr. Cornelia Wilbur,actress
tt0075296,nm0000398,Sybil,actress
tt0075296,nm0001113,Richard,actor
tt0075296,nm0058856,Hattie,actress
tt0075296,nm0388939,Frieda Dorsett,actress
tt0075296,nm0485272,Dr. Quinoness,actor
tt0075296,nm0590390,Grandma Dorsett,actress
tt0075296,nm0697733,Willard Dorsett,actor
tt0075296,nm0020897,Miss Penny,actress
tt0075296,nm0038997,Cam,actress
tt0109036,nm0001321,Abraham,actor
tt0109036,nm0001347,Sarah,actress
tt0109036,nm0001703,Pharaoh,actor
tt0109036,nm0698438,Lot,actor
tt0109036,nm0424167,Eliezer,actor
tt0109036,nm0573618,Nahor,actor
tt0109036,nm0274194,Lot's Wife,actress
tt0109036,nm0705378,Serug,actor
tt0109036,nm0017582,Mikah,actress
tt0109036,nm0576316,Reumah,actress
tt0090608,nm0384908,Lady Slane,actress
tt0090608,nm0028674,Fitzgeorge,actor
tt0090608,nm0219062,Bucktrout,actor
tt0090608,nm0130829,Carrie,actress
tt0090608,nm0189561,Herbert,actor
tt0090608,nm0291599,Kay,actor
tt0090608,nm0811355,Deborah,actress
tt0090608,nm0556739,Edith,actress
tt0090608,nm0915427,Genoux,actress
tt0090608,nm0111623,Lavinia,actress
tt0463850,nm0001126,Dr. Samantha Hill,actress
tt0463850,nm0001002,Brad Malloy,actor
tt0463850,nm0190931,Dr. Jordan Fisher,actor
tt0463850,nm0005029,Will Malloy,actor
tt0463850,nm0004731,Natalie Warner,actress
tt0463850,nm0076167,Dr. Miguel Garcia,actor
tt0463850,nm0005318,Laura Malloy,actress
tt0463850,nm0364458,"Stacy Warner, FEMA Director",actress
tt0463850,nm0653660,Alec Becker,actor
tt0463850,nm0144307,"Sean Morris, Hollister's Aide",actor
tt0070904,nm0530594,Fred Stiller,actor
tt0070904,nm0884157,Gloria Fromm,actress
tt0070904,nm0704770,Eva Vollmer,actress
tt0070904,nm0903646,Herbert Siskins,actor
tt0070904,nm0770859,Franz Hahn,actor
tt0070904,nm0483945,Fritz Walfang,actor
tt0070904,nm0518579,"Rupp, Journalist",actor
tt0070904,nm0396998,Professor Henri Vollmer,actor
tt0070904,nm0221527,Günther Lause,actor
tt0070904,nm0360889,Hans Edelkern,actor
tt0424600,nm0000973,Dr. Jeremy Stone,actor
tt0424600,nm0588096,Dr. Angela Noyce,actress
tt0424600,nm0005401,Major Bill Keane MD,actor
tt0424600,nm0274371,Colonel James C. Ferrus,actor
tt0424600,nm0837095,Lance Stone,actor
tt0424600,nm0005202,Jack Nash,actor
tt0424600,nm0196654,Dr. Tsi Chou,actor
tt0424600,nm0281284,Charles 'Chuck' Beeter,actor
tt0424600,nm0926471,President William J. Scott,actor
tt0424600,nm0040470,Edward 'Ed' Dewitt,actor
tt1079959,nm0419248,Rincewind,actor
tt1079959,nm0000276,Twoflower,actor
tt1079959,nm0000347,Trymon,actor
tt1079959,nm0000460,Patrician,actor
tt1079959,nm0004051,Narrator,actor
tt1079959,nm0000489,Death,actor
tt1079959,nm0404232,Picture Imp,actor
tt1079959,nm2257390,Death,actor
tt1079959,nm0575223,Jiglad Wert,actor
tt1079959,nm0004355,Lumuel Panter,actor
tt0472027,nm0316079,John Adams,actor
tt0472027,nm0001473,Abigail Adams,actress
tt0472027,nm0234440,Benjamin Rush,actor
tt0472027,nm0226820,Thomas Jefferson,actor
tt0472027,nm0001631,Abigail Adams Smith,actress
tt0472027,nm1154650,Thomas Adams,actor
tt0472027,nm0001556,George Washington,actor
tt0472027,nm0778831,Colonel William Smith,actor
tt0472027,nm0396812,Samuel Adams,actor
tt0472027,nm0609114,John Quincy Adams,actor
tt0279077,nm0594659,Naota Nandaba,actress
tt0279077,nm0794027,Haruko Haruhara,actress
tt0279077,nm0440374,Mamimi Samejima,actress
tt0279077,nm0559618,Kamon Nandaba,actor
tt0279077,nm0411696,Shigekuni Nandaba,actor
tt0279077,nm1523588,Eri Ninamori,actress
tt0279077,nm1501450,Masashi Masamune,actor
tt0279077,nm7271268,Gaku Manabe,actor
tt0279077,nm1217490,Amarao,actor
tt0279077,nm0157115,Kiturubami,actress
tt0871427,nm0000310,President John Sheridan,actor
tt0871427,nm0001712,Colonel Elizabeth Lochley,actress
tt0871427,nm0940974,Galen,actor
tt0871427,nm0769154,Father Cassidy,actor
tt0871427,nm0708873,Simon Burke,actor
tt0871427,nm0532857,Prince Regent Dius Vintari,actor
tt0871427,nm0745186,Ms. Chambers,actress
tt0871427,nm0998268,Guard,actor
tt0871427,nm0912714,Minbari,actress
tt0871427,nm0441537,G'Kar,actor
tt0910812,nm0221046,DG,actress
tt0910812,nm0001086,Glitch,actor
tt0910812,nm0568180,Wyatt Cain,actor
tt0910812,nm0005370,Azkadellia,actress
tt0910812,nm0874232,Raw,actor
tt0910812,nm0719678,Zero,actor
tt0910812,nm0000377,Mystic Man,actor
tt0910812,nm0542558,Toto,actor
tt0910812,nm0303442,Lavender Eyes,actress
tt0910812,nm0926471,Ahamo,actor
tt0409572,nm1954728,Old Indian,actor
tt0409572,nm0065942,Margaret Light Shines Wheeler,actress
tt0409572,nm0083655,Older Dog Star,actor
tt0409572,nm0856012,Older Jacob Wheeler,actor
tt0409572,nm1913412,Artillery Major,actor
tt0409572,nm0138371,Thunder Heart Woman,actress
tt0409572,nm0160637,Jacob Wheeler Jr.,actor
tt0409572,nm0000337,Clara Wheeler,actress
tt0409572,nm0565647,Running Fox,actor
tt0409572,nm0869721,Older Thunder Heart Woman,actress
tt0387736,nm0112871,John Crichton,actor
tt0387736,nm0085227,Aeryn Sun,actress
tt0387736,nm0799402,Ka D'Argo,actor
tt0387736,nm0249319,Chiana,actress
tt0387736,nm0701460,Harvey,actor
tt0387736,nm0384584,Sikozu Svala Shanti Sugaysi Shanu,actress
tt0387736,nm0415513,Utu-Noranti Pralatong,actress
tt0387736,nm0323822,Stark,actor
tt0387736,nm0570695,Joolushko Tunai Fenta Hovalis,actress
tt0387736,nm0291401,Capt. Meeklo Braca,actor
tt0233044,nm0000667,Cyrus Crabb,actor
